item_code,item_id,title,brand,category_id,price,list_price,discount_pct,image_url,avg_rating,sales_count,description
20,p1020,Nintendo Game Console 1020 - 1TB,Nintendo,gaming_console,27921,32848,15,https://picsum.photos/seed/p1020/300/200,3.56,2808,Next-gen console delivering immersive gaming experiences.
21,p1021,"LG Smart TV 1021 - 4K UHD, 65""",LG,tv,124485,131037,5,https://picsum.photos/seed/p1021/300/200,3.47,3619,Crisp 4K HDR display with smart OS and multiple HDMI ports.
22,p1022,Sennheiser Wireless Headphones 1022,Sennheiser,headphones,10705,10705,0,https://picsum.photos/seed/p1022/300/200,3.72,326,Comfortable headphones with active noise cancellation.
23,p1023,HP InkJet 1023 - Wireless Printing,HP,printer,33662,33662,0,https://picsum.photos/seed/p1023/300/200,4.7,203,Reliable home-office printer with low-cost cartridges.
24,p1024,"Lenovo Tab 1024 - 10.5"" Display, 64GB",Lenovo,tablet,19411,20433,5,https://picsum.photos/seed/p1024/300/200,3.72,1864,Portable tablet ideal for media and light productivity.
25,p1025,"Samsung Smart TV 1025 - 4K UHD, 50""",Samsung,tv,32468,38198,15,https://picsum.photos/seed/p1025/300/200,3.76,226,Crisp 4K HDR display with smart OS and multiple HDMI ports.
26,p1026,"Xiaomi X1026 - 8GB RAM, 128GB Storage",Xiaomi,smartphone,11062,13014,15,https://picsum.photos/seed/p1026/300/200,3.4,4723,High-performance smartphone with excellent camera and display.
27,p1027,"LG Smart TV 1027 - 4K UHD, 43""",LG,tv,161151,161151,0,https://picsum.photos/seed/p1027/300/200,4.81,2704,Crisp 4K HDR display with smart OS and multiple HDMI ports.
28,p1028,Microsoft Game Console 1028 - 1TB,Microsoft,gaming_console,51333,51333,0,https://picsum.photos/seed/p1028/300/200,3.91,3105,Next-gen console delivering immersive gaming experiences.
29,p1029,"Lenovo Tab 1029 - 10.5"" Display, 64GB",Lenovo,tablet,25923,28803,10,https://picsum.photos/seed/p1029/300/200,4.35,4187,Portable tablet ideal for media and light productivity.
30,p1030,"LG Curved Monitor 1030 - 27""",LG,monitor,57226,57226,0,https://picsum.photos/seed/p1030/300/200,4.57,1207,High-refresh IPS panel with thin bezels and adaptive-sync.
31,p1031,"HP UltraBook 1031 - 16GB RAM, 512GB SSD",HP,laptop,59091,59091,0,https://picsum.photos/seed/p1031/300/200,3.45,45,Powerful laptop for productivity and light gaming. Long battery life and slim design.
32,p1032,"Oppo X1032 - 8GB RAM, 128GB Storage",Oppo,smartphone,102056,113396,10,https://picsum.photos/seed/p1032/300/200,4.33,4578,High-performance smartphone with excellent camera and display.
33,p1033,Microsoft Game Console 1033 - 1TB,Microsoft,gaming_console,44495,44495,0,https://picsum.photos/seed/p1033/300/200,4.63,2271,Next-gen console delivering immersive gaming experiences.
34,p1034,Sennheiser Wireless Headphones 1034,Sennheiser,headphones,6280,6280,0,https://picsum.photos/seed/p1034/300/200,3.85,1251,Comfortable headphones with active noise cancellation.
35,p1035,"Samsung Smart TV 1035 - 4K UHD, 65""",Samsung,tv,116093,128992,10,https://picsum.photos/seed/p1035/300/200,3.21,2881,Crisp 4K HDR display with smart OS and multiple HDMI ports.
36,p1036,"Fujifilm Mirrorless 1036 - 24MP, 4K Video",Fujifilm,camera,73912,82125,10,https://picsum.photos/seed/p1036/300/200,4.43,3828,High quality imaging for enthusiasts and vloggers.
37,p1037,"Apple Tab 1037 - 10.5"" Display, 64GB",Apple,tablet,49517,52123,5,https://picsum.photos/seed/p1037/300/200,3.56,2677,Portable tablet ideal for media and light productivity.
38,p1038,Canon InkJet 1038 - Wireless Printing,Canon,printer,5635,5635,0,https://picsum.photos/seed/p1038/300/200,4.53,329,Reliable home-office printer with low-cost cartridges.
39,p1039,"Dell UltraBook 1039 - 16GB RAM, 512GB SSD",Dell,laptop,43075,45342,5,https://picsum.photos/seed/p1039/300/200,4.5,1374,Powerful laptop for productivity and light gaming. Long battery life and slim design.
40,p1040,Nintendo Game Console 1040 - 1TB,Nintendo,gaming_console,40995,40995,0,https://picsum.photos/seed/p1040/300/200,3.33,1989,Next-gen console delivering immersive gaming experiences.
41,p1041,"Vivo X1041 - 8GB RAM, 128GB Storage",Vivo,smartphone,106745,112363,5,https://picsum.photos/seed/p1041/300/200,3.22,3441,High-performance smartphone with excellent camera and display.
42,p1042,"Dell Curved Monitor 1042 - 27""",Dell,monitor,17589,19543,10,https://picsum.photos/seed/p1042/300/200,3.99,4853,High-refresh IPS panel with thin bezels and adaptive-sync.
43,p1043,"Sony Mirrorless 1043 - 24MP, 4K Video",Sony,camera,51267,56963,10,https://picsum.photos/seed/p1043/300/200,4.65,1489,High quality imaging for enthusiasts and vloggers.
44,p1044,"LG Curved Monitor 1044 - 27""",LG,monitor,44424,44424,0,https://picsum.photos/seed/p1044/300/200,3.61,3329,High-refresh IPS panel with thin bezels and adaptive-sync.
45,p1045,"LG Curved Monitor 1045 - 27""",LG,monitor,29327,34502,15,https://picsum.photos/seed/p1045/300/200,3.83,4534,High-refresh IPS panel with thin bezels and adaptive-sync.
46,p1046,JBL Wireless Headphones 1046,JBL,headphones,8907,8907,0,https://picsum.photos/seed/p1046/300/200,4.46,1516,Comfortable headphones with active noise cancellation.
47,p1047,"Sony Smart TV 1047 - 4K UHD, 65""",Sony,tv,46352,46352,0,https://picsum.photos/seed/p1047/300/200,4.4,1036,Crisp 4K HDR display with smart OS and multiple HDMI ports.
48,p1048,"Canon Mirrorless 1048 - 24MP, 4K Video",Canon,camera,124947,138830,10,https://picsum.photos/seed/p1048/300/200,4.01,2791,High quality imaging for enthusiasts and vloggers.
49,p1049,"Apple Tab 1049 - 10.5"" Display, 64GB",Apple,tablet,54296,63878,15,https://picsum.photos/seed/p1049/300/200,4.81,697,Portable tablet ideal for media and light productivity.
50,p1050,"Samsung Smart TV 1050 - 4K UHD, 65""",Samsung,tv,101756,119713,15,https://picsum.photos/seed/p1050/300/200,3.3,812,Crisp 4K HDR display with smart OS and multiple HDMI ports.
51,p1051,"Sony Smart TV 1051 - 4K UHD, 55""",Sony,tv,55729,65564,15,https://picsum.photos/seed/p1051/300/200,4.0,267,Crisp 4K HDR display with smart OS and multiple HDMI ports.
52,p1052,"LG Smart TV 1052 - 4K UHD, 55""",LG,tv,69012,81190,15,https://picsum.photos/seed/p1052/300/200,3.58,1220,Crisp 4K HDR display with smart OS and multiple HDMI ports.
53,p1053,"Nikon Mirrorless 1053 - 24MP, 4K Video",Nikon,camera,117009,123167,5,https://picsum.photos/seed/p1053/300/200,4.39,2230,High quality imaging for enthusiasts and vloggers.
54,p1054,Boat Wireless Headphones 1054,Boat,headphones,2291,2695,15,https://picsum.photos/seed/p1054/300/200,4.2,169,Comfortable headphones with active noise cancellation.
55,p1055,"Canon Mirrorless 1055 - 24MP, 4K Video",Canon,camera,46349,48788,5,https://picsum.photos/seed/p1055/300/200,3.89,2630,High quality imaging for enthusiasts and vloggers.
56,p1056,"Oppo X1056 - 8GB RAM, 128GB Storage",Oppo,smartphone,93975,98921,5,https://picsum.photos/seed/p1056/300/200,3.63,949,High-performance smartphone with excellent camera and display.
57,p1057,Netgear AC2546 Router 1057,Netgear,router,11701,11701,0,https://picsum.photos/seed/p1057/300/200,3.55,4499,Fast dual-band WiFi router with parental controls.
58,p1058,"Lenovo Tab 1058 - 10.5"" Display, 64GB",Lenovo,tablet,11891,11891,0,https://picsum.photos/seed/p1058/300/200,4.14,763,Portable tablet ideal for media and light productivity.
59,p1059,"Samsung Smart TV 1059 - 4K UHD, 65""",Samsung,tv,54326,60362,10,https://picsum.photos/seed/p1059/300/200,3.61,4515,Crisp 4K HDR display with smart OS and multiple HDMI ports.
60,p1060,"Xiaomi Tab 1060 - 10.5"" Display, 64GB",Xiaomi,tablet,64246,67627,5,https://picsum.photos/seed/p1060/300/200,4.59,2317,Portable tablet ideal for media and light productivity.
61,p1061,"Fujifilm Mirrorless 1061 - 24MP, 4K Video",Fujifilm,camera,124991,124991,0,https://picsum.photos/seed/p1061/300/200,4.17,1913,High quality imaging for enthusiasts and vloggers.
62,p1062,TP-Link AC2725 Router 1062,TP-Link,router,14482,14482,0,https://picsum.photos/seed/p1062/300/200,4.05,4834,Fast dual-band WiFi router with parental controls.
63,p1063,HP InkJet 1063 - Wireless Printing,HP,printer,31861,33538,5,https://picsum.photos/seed/p1063/300/200,4.26,3256,Reliable home-office printer with low-cost cartridges.
64,p1064,"Oppo X1064 - 8GB RAM, 128GB Storage",Oppo,smartphone,57808,57808,0,https://picsum.photos/seed/p1064/300/200,4.27,2354,High-performance smartphone with excellent camera and display.
65,p1065,"Samsung Smart TV 1065 - 4K UHD, 65""",Samsung,tv,93578,98503,5,https://picsum.photos/seed/p1065/300/200,3.93,2000,Crisp 4K HDR display with smart OS and multiple HDMI ports.
66,p1066,Sennheiser Wireless Headphones 1066,Sennheiser,headphones,9860,10379,5,https://picsum.photos/seed/p1066/300/200,3.98,76,Comfortable headphones with active noise cancellation.
67,p1067,"Samsung Curved Monitor 1067 - 27""",Samsung,monitor,21951,24390,10,https://picsum.photos/seed/p1067/300/200,4.65,873,High-refresh IPS panel with thin bezels and adaptive-sync.
68,p1068,"Xiaomi Smart TV 1068 - 4K UHD, 55""",Xiaomi,tv,25751,25751,0,https://picsum.photos/seed/p1068/300/200,4.75,4069,Crisp 4K HDR display with smart OS and multiple HDMI ports.
69,p1069,"Nikon Mirrorless 1069 - 24MP, 4K Video",Nikon,camera,124035,124035,0,https://picsum.photos/seed/p1069/300/200,3.73,3611,High quality imaging for enthusiasts and vloggers.
70,p1070,"Acer UltraBook 1070 - 16GB RAM, 512GB SSD",Acer,laptop,70726,74448,5,https://picsum.photos/seed/p1070/300/200,4.1,2232,Powerful laptop for productivity and light gaming. Long battery life and slim design.
71,p1071,"Lenovo Tab 1071 - 10.5"" Display, 64GB",Lenovo,tablet,60338,67042,10,https://picsum.photos/seed/p1071/300/200,4.84,4565,Portable tablet ideal for media and light productivity.
72,p1072,HP InkJet 1072 - Wireless Printing,HP,printer,25695,27047,5,https://picsum.photos/seed/p1072/300/200,3.38,1915,Reliable home-office printer with low-cost cartridges.
73,p1073,"Dell Curved Monitor 1073 - 27""",Dell,monitor,27804,27804,0,https://picsum.photos/seed/p1073/300/200,4.81,2493,High-refresh IPS panel with thin bezels and adaptive-sync.
74,p1074,"Dell Curved Monitor 1074 - 27""",Dell,monitor,43402,43402,0,https://picsum.photos/seed/p1074/300/200,4.71,811,High-refresh IPS panel with thin bezels and adaptive-sync.
75,p1075,"Asus Curved Monitor 1075 - 27""",Asus,monitor,13785,14511,5,https://picsum.photos/seed/p1075/300/200,3.3,2260,High-refresh IPS panel with thin bezels and adaptive-sync.
76,p1076,"Samsung Smart TV 1076 - 4K UHD, 65""",Samsung,tv,176538,176538,0,https://picsum.photos/seed/p1076/300/200,3.32,4540,Crisp 4K HDR display with smart OS and multiple HDMI ports.
77,p1077,"Sony Smart TV 1077 - 4K UHD, 50""",Sony,tv,176233,176233,0,https://picsum.photos/seed/p1077/300/200,3.42,2934,Crisp 4K HDR display with smart OS and multiple HDMI ports.
78,p1078,"LG Smart TV 1078 - 4K UHD, 43""",LG,tv,110799,130352,15,https://picsum.photos/seed/p1078/300/200,4.21,3702,Crisp 4K HDR display with smart OS and multiple HDMI ports.
79,p1079,Bose Wireless Headphones 1079,Bose,headphones,26042,28936,10,https://picsum.photos/seed/p1079/300/200,4.41,3633,Comfortable headphones with active noise cancellation.
80,p1080,"Samsung X1080 - 8GB RAM, 128GB Storage",Samsung,smartphone,14118,16609,15,https://picsum.photos/seed/p1080/300/200,3.7,4141,High-performance smartphone with excellent camera and display.
81,p1081,Microsoft Game Console 1081 - 1TB,Microsoft,gaming_console,43185,43185,0,https://picsum.photos/seed/p1081/300/200,3.9,3715,Next-gen console delivering immersive gaming experiences.
82,p1082,D-Link AC1840 Router 1082,D-Link,router,12752,12752,0,https://picsum.photos/seed/p1082/300/200,3.93,3052,Fast dual-band WiFi router with parental controls.
83,p1083,"Apple Tab 1083 - 10.5"" Display, 64GB",Apple,tablet,31514,33173,5,https://picsum.photos/seed/p1083/300/200,3.8,4734,Portable tablet ideal for media and light productivity.
84,p1084,Bose Wireless Headphones 1084,Bose,headphones,8529,8529,0,https://picsum.photos/seed/p1084/300/200,4.57,4595,Comfortable headphones with active noise cancellation.
85,p1085,Nintendo Game Console 1085 - 1TB,Nintendo,gaming_console,15400,15400,0,https://picsum.photos/seed/p1085/300/200,4.16,3283,Next-gen console delivering immersive gaming experiences.
86,p1086,"OnePlus X1086 - 8GB RAM, 128GB Storage",OnePlus,smartphone,30767,36197,15,https://picsum.photos/seed/p1086/300/200,3.34,430,High-performance smartphone with excellent camera and display.
87,p1087,"Samsung Tab 1087 - 10.5"" Display, 64GB",Samsung,tablet,33183,39039,15,https://picsum.photos/seed/p1087/300/200,3.39,3521,Portable tablet ideal for media and light productivity.
88,p1088,"Xiaomi X1088 - 8GB RAM, 128GB Storage",Xiaomi,smartphone,13254,13952,5,https://picsum.photos/seed/p1088/300/200,3.69,982,High-performance smartphone with excellent camera and display.
89,p1089,"Asus UltraBook 1089 - 16GB RAM, 512GB SSD",Asus,laptop,73865,73865,0,https://picsum.photos/seed/p1089/300/200,3.94,3766,Powerful laptop for productivity and light gaming. Long battery life and slim design.
90,p1090,"Oppo X1090 - 8GB RAM, 128GB Storage",Oppo,smartphone,70683,83156,15,https://picsum.photos/seed/p1090/300/200,3.98,2964,High-performance smartphone with excellent camera and display.
91,p1091,"Realme X1091 - 8GB RAM, 128GB Storage",Realme,smartphone,85184,85184,0,https://picsum.photos/seed/p1091/300/200,3.33,934,High-performance smartphone with excellent camera and display.
92,p1092,Boat Wireless Headphones 1092,Boat,headphones,10597,10597,0,https://picsum.photos/seed/p1092/300/200,4.22,617,Comfortable headphones with active noise cancellation.
93,p1093,"Xiaomi Tab 1093 - 10.5"" Display, 64GB",Xiaomi,tablet,67805,67805,0,https://picsum.photos/seed/p1093/300/200,4.0,2480,Portable tablet ideal for media and light productivity.
94,p1094,"Canon Mirrorless 1094 - 24MP, 4K Video",Canon,camera,25440,29929,15,https://picsum.photos/seed/p1094/300/200,4.21,3149,High quality imaging for enthusiasts and vloggers.
95,p1095,"Dell Curved Monitor 1095 - 27""",Dell,monitor,37525,37525,0,https://picsum.photos/seed/p1095/300/200,4.06,1413,High-refresh IPS panel with thin bezels and adaptive-sync.
96,p1096,"Dell UltraBook 1096 - 16GB RAM, 512GB SSD",Dell,laptop,150774,177381,15,https://picsum.photos/seed/p1096/300/200,3.29,2741,Powerful laptop for productivity and light gaming. Long battery life and slim design.
97,p1097,"Xiaomi X1097 - 8GB RAM, 128GB Storage",Xiaomi,smartphone,45243,45243,0,https://picsum.photos/seed/p1097/300/200,4.76,2541,High-performance smartphone with excellent camera and display.
98,p1098,TP-Link AC1834 Router 1098,TP-Link,router,11231,12479,10,https://picsum.photos/seed/p1098/300/200,4.06,149,Fast dual-band WiFi router with parental controls.
99,p1099,Canon InkJet 1099 - Wireless Printing,Canon,printer,10560,12423,15,https://picsum.photos/seed/p1099/300/200,4.51,4313,Reliable home-office printer with low-cost cartridges.
100,p1100,"Apple UltraBook 1100 - 16GB RAM, 512GB SSD",Apple,laptop,66918,74353,10,https://picsum.photos/seed/p1100/300/200,3.82,1945,Powerful laptop for productivity and light gaming. Long battery life and slim design.
101,p1101,"Samsung Curved Monitor 1101 - 27""",Samsung,monitor,28895,32106,10,https://picsum.photos/seed/p1101/300/200,4.05,3429,High-refresh IPS panel with thin bezels and adaptive-sync.
102,p1102,"Samsung Tab 1102 - 10.5"" Display, 64GB",Samsung,tablet,52020,52020,0,https://picsum.photos/seed/p1102/300/200,4.5,2234,Portable tablet ideal for media and light productivity.
103,p1103,"LG Curved Monitor 1103 - 27""",LG,monitor,11490,11490,0,https://picsum.photos/seed/p1103/300/200,3.86,668,High-refresh IPS panel with thin bezels and adaptive-sync.
104,p1104,HP InkJet 1104 - Wireless Printing,HP,printer,30931,30931,0,https://picsum.photos/seed/p1104/300/200,4.49,3842,Reliable home-office printer with low-cost cartridges.
105,p1105,"Dell Curved Monitor 1105 - 27""",Dell,monitor,42588,42588,0,https://picsum.photos/seed/p1105/300/200,3.71,391,High-refresh IPS panel with thin bezels and adaptive-sync.
106,p1106,"Xiaomi Smart TV 1106 - 4K UHD, 65""",Xiaomi,tv,151027,151027,0,https://picsum.photos/seed/p1106/300/200,3.7,12,Crisp 4K HDR display with smart OS and multiple HDMI ports.
107,p1107,Microsoft Game Console 1107 - 1TB,Microsoft,gaming_console,48267,48267,0,https://picsum.photos/seed/p1107/300/200,3.86,3851,Next-gen console delivering immersive gaming experiences.
108,p1108,"Apple UltraBook 1108 - 16GB RAM, 512GB SSD",Apple,laptop,101167,106492,5,https://picsum.photos/seed/p1108/300/200,3.43,2886,Powerful laptop for productivity and light gaming. Long battery life and slim design.
109,p1109,JBL Wireless Headphones 1109,JBL,headphones,30994,30994,0,https://picsum.photos/seed/p1109/300/200,3.27,1634,Comfortable headphones with active noise cancellation.
110,p1110,"Lenovo UltraBook 1110 - 16GB RAM, 512GB SSD",Lenovo,laptop,144392,144392,0,https://picsum.photos/seed/p1110/300/200,4.67,2719,Powerful laptop for productivity and light gaming. Long battery life and slim design.
111,p1111,"Canon Mirrorless 1111 - 24MP, 4K Video",Canon,camera,65966,69438,5,https://picsum.photos/seed/p1111/300/200,4.56,3477,High quality imaging for enthusiasts and vloggers.
112,p1112,"Realme X1112 - 8GB RAM, 128GB Storage",Realme,smartphone,45091,50101,10,https://picsum.photos/seed/p1112/300/200,3.48,3636,High-performance smartphone with excellent camera and display.
113,p1113,Canon InkJet 1113 - Wireless Printing,Canon,printer,30935,30935,0,https://picsum.photos/seed/p1113/300/200,4.82,1169,Reliable home-office printer with low-cost cartridges.
114,p1114,Nintendo Game Console 1114 - 1TB,Nintendo,gaming_console,49190,54655,10,https://picsum.photos/seed/p1114/300/200,4.81,3047,Next-gen console delivering immersive gaming experiences.
115,p1115,"Dell Curved Monitor 1115 - 27""",Dell,monitor,8728,9698,10,https://picsum.photos/seed/p1115/300/200,4.75,964,High-refresh IPS panel with thin bezels and adaptive-sync.
116,p1116,"Sony Mirrorless 1116 - 24MP, 4K Video",Sony,camera,39020,41074,5,https://picsum.photos/seed/p1116/300/200,4.34,531,High quality imaging for enthusiasts and vloggers.
117,p1117,Boat Wireless Headphones 1117,Boat,headphones,15695,15695,0,https://picsum.photos/seed/p1117/300/200,3.6,4047,Comfortable headphones with active noise cancellation.
118,p1118,"Lenovo UltraBook 1118 - 16GB RAM, 512GB SSD",Lenovo,laptop,66616,74018,10,https://picsum.photos/seed/p1118/300/200,4.6,604,Powerful laptop for productivity and light gaming. Long battery life and slim design.
119,p1119,"Lenovo Tab 1119 - 10.5"" Display, 64GB",Lenovo,tablet,37319,43905,15,https://picsum.photos/seed/p1119/300/200,4.75,453,Portable tablet ideal for media and light productivity.
120,p1120,"Apple X1120 - 8GB RAM, 128GB Storage",Apple,smartphone,24845,29229,15,https://picsum.photos/seed/p1120/300/200,3.67,2480,High-performance smartphone with excellent camera and display.
121,p1121,Nintendo Game Console 1121 - 1TB,Nintendo,gaming_console,51937,51937,0,https://picsum.photos/seed/p1121/300/200,3.34,4724,Next-gen console delivering immersive gaming experiences.
122,p1122,"Nikon Mirrorless 1122 - 24MP, 4K Video",Nikon,camera,86858,96509,10,https://picsum.photos/seed/p1122/300/200,3.71,597,High quality imaging for enthusiasts and vloggers.
123,p1123,"Dell UltraBook 1123 - 16GB RAM, 512GB SSD",Dell,laptop,166943,166943,0,https://picsum.photos/seed/p1123/300/200,4.49,4218,Powerful laptop for productivity and light gaming. Long battery life and slim design.
124,p1124,Sony Wireless Headphones 1124,Sony,headphones,18017,20019,10,https://picsum.photos/seed/p1124/300/200,3.62,1308,Comfortable headphones with active noise cancellation.
125,p1125,Epson InkJet 1125 - Wireless Printing,Epson,printer,28734,33805,15,https://picsum.photos/seed/p1125/300/200,3.98,1972,Reliable home-office printer with low-cost cartridges.
126,p1126,"LG Smart TV 1126 - 4K UHD, 43""",LG,tv,191510,191510,0,https://picsum.photos/seed/p1126/300/200,4.7,2996,Crisp 4K HDR display with smart OS and multiple HDMI ports.
127,p1127,D-Link AC2020 Router 1127,D-Link,router,5294,6228,15,https://picsum.photos/seed/p1127/300/200,3.68,973,Fast dual-band WiFi router with parental controls.
128,p1128,"Apple Tab 1128 - 10.5"" Display, 64GB",Apple,tablet,33960,33960,0,https://picsum.photos/seed/p1128/300/200,3.43,2728,Portable tablet ideal for media and light productivity.
129,p1129,"Asus Curved Monitor 1129 - 27""",Asus,monitor,41142,48402,15,https://picsum.photos/seed/p1129/300/200,4.61,4360,High-refresh IPS panel with thin bezels and adaptive-sync.
130,p1130,"Samsung Curved Monitor 1130 - 27""",Samsung,monitor,26755,28163,5,https://picsum.photos/seed/p1130/300/200,4.84,4738,High-refresh IPS panel with thin bezels and adaptive-sync.
131,p1131,Sony Game Console 1131 - 1TB,Sony,gaming_console,59612,59612,0,https://picsum.photos/seed/p1131/300/200,4.17,900,Next-gen console delivering immersive gaming experiences.
132,p1132,"Samsung Smart TV 1132 - 4K UHD, 65""",Samsung,tv,73448,73448,0,https://picsum.photos/seed/p1132/300/200,4.08,4594,Crisp 4K HDR display with smart OS and multiple HDMI ports.
133,p1133,Epson InkJet 1133 - Wireless Printing,Epson,printer,21346,22469,5,https://picsum.photos/seed/p1133/300/200,4.24,1575,Reliable home-office printer with low-cost cartridges.
134,p1134,"LG Smart TV 1134 - 4K UHD, 55""",LG,tv,70619,74336,5,https://picsum.photos/seed/p1134/300/200,3.69,4697,Crisp 4K HDR display with smart OS and multiple HDMI ports.
135,p1135,Sennheiser Wireless Headphones 1135,Sennheiser,headphones,5870,6179,5,https://picsum.photos/seed/p1135/300/200,4.47,1752,Comfortable headphones with active noise cancellation.
136,p1136,"LG Smart TV 1136 - 4K UHD, 55""",LG,tv,173834,173834,0,https://picsum.photos/seed/p1136/300/200,3.37,2705,Crisp 4K HDR display with smart OS and multiple HDMI ports.
137,p1137,"Dell Curved Monitor 1137 - 27""",Dell,monitor,57539,57539,0,https://picsum.photos/seed/p1137/300/200,4.74,732,High-refresh IPS panel with thin bezels and adaptive-sync.
138,p1138,Sony Game Console 1138 - 1TB,Sony,gaming_console,27210,27210,0,https://picsum.photos/seed/p1138/300/200,3.22,4652,Next-gen console delivering immersive gaming experiences.
139,p1139,Sony Game Console 1139 - 1TB,Sony,gaming_console,32880,32880,0,https://picsum.photos/seed/p1139/300/200,3.76,3759,Next-gen console delivering immersive gaming experiences.
140,p1140,"Nikon Mirrorless 1140 - 24MP, 4K Video",Nikon,camera,107725,113395,5,https://picsum.photos/seed/p1140/300/200,3.35,781,High quality imaging for enthusiasts and vloggers.
141,p1141,"Samsung Tab 1141 - 10.5"" Display, 64GB",Samsung,tablet,23026,27090,15,https://picsum.photos/seed/p1141/300/200,3.22,2945,Portable tablet ideal for media and light productivity.
142,p1142,"Samsung Smart TV 1142 - 4K UHD, 43""",Samsung,tv,189858,199850,5,https://picsum.photos/seed/p1142/300/200,3.82,1809,Crisp 4K HDR display with smart OS and multiple HDMI ports.
143,p1143,"Sony Smart TV 1143 - 4K UHD, 65""",Sony,tv,100252,117943,15,https://picsum.photos/seed/p1143/300/200,4.68,670,Crisp 4K HDR display with smart OS and multiple HDMI ports.
144,p1144,Sennheiser Wireless Headphones 1144,Sennheiser,headphones,9197,10820,15,https://picsum.photos/seed/p1144/300/200,3.95,1682,Comfortable headphones with active noise cancellation.
145,p1145,Microsoft Game Console 1145 - 1TB,Microsoft,gaming_console,44163,51956,15,https://picsum.photos/seed/p1145/300/200,3.99,2524,Next-gen console delivering immersive gaming experiences.
